
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-02 15:14:19 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.22ms
  2026-06-02 15:14:19 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-02 15:14:20 /api/dashboard-data/recent-phone-calls ............................................. ~ 507.29ms
  2026-06-02 15:14:20 /api/dashboard-data/last-comments .................................................. ~ 505.53ms
  2026-06-02 15:14:20 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.28ms
  2026-06-02 15:14:20 /api/dashboard-data/last-comments .................................................. ~ 505.61ms
  2026-06-02 15:14:21 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:14:21 /api/dashboard-data/last-comments .................................................. ~ 506.12ms
  2026-06-02 15:14:21 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.80ms
  2026-06-02 15:14:22 /api/dashboard-data/last-comments .................................................. ~ 505.98ms
  2026-06-02 15:14:22 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.73ms
  2026-06-02 15:14:41 /api/profile ....................................................................... ~ 501.81ms
  2026-06-02 15:14:42 /api/profile ....................................................................... ~ 501.12ms
  2026-06-02 15:14:42 /api/profile ....................................................................... ~ 507.21ms
  2026-06-02 15:14:42 /api/profile ....................................................................... ~ 501.61ms
  2026-06-02 15:14:47 /api/campaigns ....................................................................... ~ 1.03ms
  2026-06-02 15:14:48 /api/sources ....................................................................... ~ 500.81ms
  2026-06-02 15:14:48 /api/users ......................................................................... ~ 507.28ms
  2026-06-02 15:14:48 /api/landing-pages ................................................................. ~ 506.96ms
  2026-06-02 15:14:48 /api/leads ......................................................................... ~ 506.58ms
  2026-06-02 15:14:49 /api/campaigns ..................................................................... ~ 507.81ms
  2026-06-02 15:14:49 /api/sources ....................................................................... ~ 507.55ms
  2026-06-02 15:14:49 /api/landing-pages ................................................................. ~ 507.28ms
  2026-06-02 15:14:49 /api/leads ......................................................................... ~ 506.92ms
  2026-06-02 15:14:50 /api/campaigns ........................................................................... ~ 3s
  2026-06-02 15:14:50 /api/sources ............................................................................. ~ 3s
  2026-06-02 15:14:53 /api/users ............................................................................... ~ 1s
  2026-06-02 15:14:53 /api/landing-pages ....................................................................... ~ 1s
  2026-06-02 15:14:54 /api/leads ......................................................................... ~ 505.31ms
  2026-06-02 15:14:54 /api/campaigns ..................................................................... ~ 506.46ms
  2026-06-02 15:14:55 /api/sources ............................................................................. ~ 1s
  2026-06-02 15:14:55 /api/landing-pages ................................................................. ~ 507.20ms
  2026-06-02 15:14:55 /api/leads ......................................................................... ~ 505.22ms
  2026-06-02 15:16:01 /api/notifications ................................................................. ~ 501.75ms
  2026-06-02 15:18:01 /api/notifications ................................................................. ~ 502.13ms
  2026-06-02 15:20:01 /api/notifications ................................................................. ~ 500.90ms
  2026-06-02 15:22:02 /api/notifications ................................................................... ~ 1.86ms
  2026-06-02 15:24:02 /api/notifications ................................................................. ~ 502.61ms
  2026-06-02 15:26:02 /api/notifications ................................................................. ~ 501.95ms
  2026-06-02 15:28:33 /api/notifications ................................................................. ~ 501.43ms
  2026-06-02 15:29:54 /api/company-info .................................................................. ~ 501.34ms
  2026-06-02 15:29:55 /api/company-info .................................................................. ~ 501.49ms
  2026-06-02 15:29:55 /api/crm-settings .................................................................... ~ 0.55ms
  2026-06-02 15:29:55 /api/inventory/new-counts .......................................................... ~ 507.92ms
  2026-06-02 15:29:55 /api/crm-settings .................................................................. ~ 506.93ms
  2026-06-02 15:29:56 /api/rotation-settings ............................................................. ~ 506.70ms
  2026-06-02 15:29:56 /api/inventory/new-counts ................................................................ ~ 1s
  2026-06-02 15:29:56 /api/rotation-settings ............................................................. ~ 506.90ms
  2026-06-02 15:29:56 /api/campaigns ..................................................................... ~ 506.86ms
  2026-06-02 15:29:57 /api/sources ....................................................................... ~ 507.59ms
  2026-06-02 15:29:57 /api/users ......................................................................... ~ 508.27ms
  2026-06-02 15:29:57 /api/landing-pages ................................................................. ~ 508.56ms
  2026-06-02 15:29:58 /api/leads ......................................................................... ~ 507.47ms
  2026-06-02 15:29:58 /api/notifications ....................................................................... ~ 1s
  2026-06-02 15:29:58 /api/campaigns ..................................................................... ~ 508.19ms
  2026-06-02 15:29:59 /api/sources ....................................................................... ~ 507.94ms
  2026-06-02 15:29:59 /api/users ............................................................................... ~ 1s
  2026-06-02 15:29:59 /api/landing-pages ................................................................. ~ 509.48ms
  2026-06-02 15:30:00 /api/leads ......................................................................... ~ 507.05ms
