
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-07 14:39:33 /api/dashboard-data/active-users ................................................... ~ 508.54ms
  2026-06-07 14:39:33 /api/users ......................................................................... ~ 506.27ms
  2026-06-07 14:39:34 /api/users ............................................................................... ~ 1s
  2026-06-07 14:39:34 /api/stages ........................................................................ ~ 508.75ms
  2026-06-07 14:39:34 /api/leads/stats ................................................................... ~ 507.61ms
  2026-06-07 14:39:35 /api/leads/analysis ...................................................................... ~ 1s
  2026-06-07 14:39:35 /api/notifications ................................................................. ~ 507.19ms
  2026-06-07 14:39:35 /api/campaigns/dashboard-stats ..................................................... ~ 508.22ms
  2026-06-07 14:39:36 /api/stages ........................................................................ ~ 507.21ms
  2026-06-07 14:39:36 /api/leads/stats ................................................................... ~ 507.81ms
  2026-06-07 14:39:36 /api/leads/analysis ...................................................................... ~ 1s
  2026-06-07 14:39:36 /api/dashboard-data/last-comments .................................................. ~ 507.91ms
  2026-06-07 14:39:37 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.11ms
  2026-06-07 14:39:37 /api/super-admin/tenants ................................................................. ~ 1s
  2026-06-07 14:39:37 /api/notifications ................................................................. ~ 507.08ms
  2026-06-07 14:39:38 /api/dashboard-data/last-comments .................................................. ~ 512.97ms
  2026-06-07 14:39:38 /api/dashboard-data/recent-phone-calls ............................................. ~ 522.56ms
  2026-06-07 14:41:32 /api/super-admin/tenants ........................................................... ~ 502.00ms
  2026-06-07 14:41:32 /api/super-admin/tenants ................................................................. ~ 1s
  2026-06-07 14:41:33 /api/super-admin/tenants ........................................................... ~ 501.68ms
  2026-06-07 14:42:57 /api/super-admin/tenants ................................................................. ~ 1s
  2026-06-07 14:42:58 /api/super-admin/tenants ............................................................. ~ 0.50ms
  2026-06-07 14:44:36 /api/login ........................................................................... ~ 1.08ms
  2026-06-07 14:44:36 /api/login ............................................................................... ~ 3s
  2026-06-07 14:44:39 /api/company-info .................................................................... ~ 0.68ms
  2026-06-07 14:44:39 /api/company-info ........................................................................ ~ 1s
  2026-06-07 14:44:41 /api/crm-settings .................................................................. ~ 501.31ms
  2026-06-07 14:44:41 /api/inventory/new-counts .......................................................... ~ 500.94ms
  2026-06-07 14:44:41 /api/crm-settings .................................................................. ~ 500.97ms
  2026-06-07 14:44:42 /api/inventory/new-counts .......................................................... ~ 501.74ms
  2026-06-07 14:44:42 /api/rotation-settings ............................................................... ~ 0.55ms
  2026-06-07 14:44:43 /api/leads/delayed ................................................................. ~ 500.95ms
  2026-06-07 14:44:43 /api/dashboard/top-users ................................................................. ~ 1s
  2026-06-07 14:44:43 /api/dashboard-data/last-comments .................................................. ~ 507.37ms
  2026-06-07 14:44:43 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.26ms
  2026-06-07 14:44:44 /api/campaigns/dashboard-stats ..................................................... ~ 505.19ms
  2026-06-07 14:44:44 /api/leads/pipeline-analysis ....................................................... ~ 506.35ms
  2026-06-07 14:44:44 /api/stages ........................................................................ ~ 506.30ms
  2026-06-07 14:44:44 /api/user .......................................................................... ~ 508.37ms
  2026-06-07 14:44:45 /api/dashboard-data/active-users ................................................... ~ 508.81ms
  2026-06-07 14:44:45 /api/users ......................................................................... ~ 506.45ms
  2026-06-07 14:44:45 /api/users ......................................................................... ~ 507.92ms
  2026-06-07 14:44:45 /api/stages ........................................................................ ~ 507.70ms
  2026-06-07 14:44:46 /api/leads/stats ................................................................... ~ 506.94ms
  2026-06-07 14:44:46 /api/leads/analysis ................................................................ ~ 506.67ms
  2026-06-07 14:44:46 /api/notifications ....................................................................... ~ 1s
  2026-06-07 14:44:46 /api/leads/delayed ................................................................. ~ 508.47ms
  2026-06-07 14:44:47 /api/dashboard/top-users ........................................................... ~ 507.18ms
  2026-06-07 14:44:47 /api/dashboard-data/last-comments .................................................. ~ 507.19ms
  2026-06-07 14:44:47 /api/dashboard-data/recent-phone-calls ............................................. ~ 507.06ms
  2026-06-07 14:44:48 /api/campaigns/dashboard-stats ..................................................... ~ 506.04ms
  2026-06-07 14:44:48 /api/leads/pipeline-analysis ....................................................... ~ 505.65ms
  2026-06-07 14:44:48 /api/stages ........................................................................ ~ 505.67ms
  2026-06-07 14:44:48 /api/user .......................................................................... ~ 508.13ms
  2026-06-07 14:44:49 /api/dashboard-data/active-users ................................................... ~ 508.40ms
  2026-06-07 14:44:49 /api/users ......................................................................... ~ 506.08ms
  2026-06-07 14:44:49 /api/users ......................................................................... ~ 508.19ms
  2026-06-07 14:44:49 /api/stages ........................................................................ ~ 508.24ms
  2026-06-07 14:44:50 /api/leads/stats ................................................................... ~ 507.59ms
  2026-06-07 14:44:50 /api/leads/analysis ................................................................ ~ 507.68ms
  2026-06-07 14:44:50 /api/notifications ................................................................. ~ 507.48ms
  2026-06-07 14:44:50 /api/dashboard-data/last-comments .................................................. ~ 507.27ms
  2026-06-07 14:44:51 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.09ms
  2026-06-07 14:44:51 /api/dashboard-data/last-comments .................................................. ~ 505.08ms
  2026-06-07 14:44:51 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.67ms
  2026-06-07 14:44:52 /api/rotation-settings ................................................................... ~ 1s
  2026-06-07 14:44:52 /api/leads/delayed ....................................................................... ~ 1s
  2026-06-07 14:44:53 /api/dashboard/top-users ................................................................. ~ 1s
  2026-06-07 14:44:53 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-07 14:44:53 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.57ms
  2026-06-07 14:44:54 /api/campaigns/dashboard-stats ........................................................... ~ 1s
  2026-06-07 14:44:54 /api/leads/pipeline-analysis ............................................................. ~ 1s
  2026-06-07 14:44:55 /api/stages ........................................................................ ~ 506.48ms
  2026-06-07 14:44:55 /api/user ................................................................................ ~ 1s
  2026-06-07 14:44:56 /api/users ............................................................................... ~ 1s
  2026-06-07 14:44:56 ......................................................................................... ~ 59s
  2026-06-07 14:44:56 ......................................................................................... ~ 58s
  2026-06-07 14:44:56 ......................................................................................... ~ 58s
  2026-06-07 14:53:55 /api/company-info .................................................................. ~ 502.17ms
  2026-06-07 14:53:55 /api/company-info .................................................................. ~ 500.91ms
  2026-06-07 14:53:56 /api/crm-settings .................................................................... ~ 0.55ms
  2026-06-07 14:53:56 /api/inventory/new-counts .......................................................... ~ 506.54ms
  2026-06-07 14:53:56 /api/crm-settings ........................................................................ ~ 1s
  2026-06-07 14:53:56 /api/rotation-settings ............................................................. ~ 509.19ms
  2026-06-07 14:53:57 /api/inventory/new-counts .......................................................... ~ 507.15ms
  2026-06-07 14:53:57 /api/rotation-settings ................................................................... ~ 1s
  2026-06-07 14:53:58 /api/leads/delayed ................................................................... ~ 0.52ms
  2026-06-07 14:53:58 /api/dashboard/top-users ........................................................... ~ 507.42ms
  2026-06-07 14:53:58 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-07 14:53:58 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.92ms
  2026-06-07 14:53:59 /api/campaigns/dashboard-stats ..................................................... ~ 506.36ms
  2026-06-07 14:53:59 /api/leads/pipeline-analysis ............................................................. ~ 1s
  2026-06-07 14:53:59 /api/stages ........................................................................ ~ 506.30ms
  2026-06-07 14:53:59 /api/user .......................................................................... ~ 508.21ms
  2026-06-07 14:54:00 /api/dashboard-data/active-users ......................................................... ~ 1s
  2026-06-07 14:54:00 /api/users ............................................................................... ~ 1s
  2026-06-07 14:54:01 /api/stages ........................................................................ ~ 509.21ms
  2026-06-07 14:54:01 /api/users ......................................................................... ~ 508.31ms
  2026-06-07 14:54:01 /api/leads/stats ................................................................... ~ 508.35ms
  2026-06-07 14:54:02 /api/leads/analysis ................................................................ ~ 507.54ms
  2026-06-07 14:54:02 /api/notifications ....................................................................... ~ 1s
  2026-06-07 14:54:02 /api/campaigns/dashboard-stats ..................................................... ~ 508.45ms
  2026-06-07 14:54:03 /api/stages ........................................................................ ~ 505.55ms
  2026-06-07 14:54:03 /api/leads/stats ................................................................... ~ 506.63ms
  2026-06-07 14:54:03 /api/leads/analysis ................................................................ ~ 506.43ms
  2026-06-07 14:54:03 /api/leads/delayed ....................................................................... ~ 1s
  2026-06-07 14:54:04 /api/dashboard/top-users ........................................................... ~ 507.05ms
  2026-06-07 14:54:04 /api/dashboard-data/last-comments .................................................. ~ 506.71ms
  2026-06-07 14:54:04 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-07 14:54:05 /api/campaigns/dashboard-stats ..................................................... ~ 506.00ms
  2026-06-07 14:54:05 /api/leads/pipeline-analysis ....................................................... ~ 506.16ms
  2026-06-07 14:54:06 /api/stages .............................................................................. ~ 1s
  2026-06-07 14:54:06 /api/user .......................................................................... ~ 509.30ms
  2026-06-07 14:54:06 /api/admin/fields .................................................................. ~ 507.62ms
  2026-06-07 14:54:07 /api/sources ....................................................................... ~ 505.95ms
  2026-06-07 14:54:07 /api/stages ........................................................................ ~ 509.23ms
  2026-06-07 14:54:07 /api/campaigns ........................................................................... ~ 1s
  2026-06-07 14:54:07 /api/items ......................................................................... ~ 508.73ms
  2026-06-07 14:54:08 /api/leads/stats ................................................................... ~ 507.11ms
  2026-06-07 14:54:08 /api/leads ......................................................................... ~ 505.82ms
  2026-06-07 14:54:08 /api/referral-supervisors .......................................................... ~ 507.79ms
  2026-06-07 14:54:08 /api/admin/fields .................................................................. ~ 506.92ms
  2026-06-07 14:54:09 /api/sources ....................................................................... ~ 507.23ms
  2026-06-07 14:54:09 /api/stages ........................................................................ ~ 507.68ms
  2026-06-07 14:54:09 /api/campaigns ..................................................................... ~ 508.03ms
  2026-06-07 14:54:10 /api/items ......................................................................... ~ 508.02ms
  2026-06-07 14:54:10 /api/referral-supervisors .......................................................... ~ 506.56ms
  2026-06-07 14:54:10 /api/dashboard-data/active-users ................................................... ~ 504.89ms
  2026-06-07 14:54:10 /api/users ......................................................................... ~ 506.30ms
  2026-06-07 14:54:11 /api/stages .............................................................................. ~ 1s
  2026-06-07 14:54:11 /api/users ......................................................................... ~ 508.59ms
  2026-06-07 14:54:11 /api/leads/stats ................................................................... ~ 507.85ms
  2026-06-07 14:54:12 /api/leads/analysis ...................................................................... ~ 1s
  2026-06-07 14:54:12 /api/notifications ................................................................. ~ 508.21ms
  2026-06-07 14:54:12 /api/auth/meta/status .............................................................. ~ 506.32ms
  2026-06-07 14:54:13 /api/auth/meta/app-settings ........................................................ ~ 505.76ms
